epoch,mpe_mpe-large-spread-v1_ac_att_noise_JAMMAS_1 - episode_return,mpe_mpe-large-spread-v1_ac_att_JAMMAS_1 - episode_return
1,-370.9,-333.6
2,-331.6,-431.9
3,-339.3,-321.1
4,-309.1,-358.7
5,-320.3,-410.5
6,-396.3,-374.8
7,-334.6,-370.8
8,-346.1,-353.9
9,-314.9,-368.3
10,-418.6,-372.4
11,-338.3,-314
12,-370.2,-353
13,-273.1,-372.3
14,-442.3,-332.8
15,-517.5,-290.9
16,-408.9,-356.8
17,-386.9,-361.4
18,-360.9,-301.1
19,-367,-378.9
20,-349.1,-370.3
21,-318.4,-378.6
22,-350.6,-324.7
23,-328.8,-341
24,-328.4,-357.8
25,-385.2,-326.6
26,-302,-397.1
27,-375.3,-374.7
28,-389.4,-352.4
29,-363.6,-355
30,-360.6,-387.7
31,-347,-367.1
32,-320.1,-357.6
33,-278.8,-383.7
34,-387.9,-357.5
35,-319.2,-356.4
36,-352.1,-342.8
37,-349.3,-326.1
38,-318.6,-336.2
39,-406.5,-372.1
40,-361.1,-348.5
41,-302.7,-328
42,-365.7,-365.4
43,-335.5,-282.5
44,-341.4,-333.8
45,-380.3,-348.9
46,-380.3,-368.2
47,-327.4,-346.6
48,-362.3,-334.3
49,-332.7,-326.3
50,-401.2,-370.8
51,-395.6,-358.2
52,-313.3,-315.4
53,-366.2,-303.2
54,-377.1,-368.2
55,-348.1,-321.3
56,-348.3,-336.9
57,-357.6,-321.6
58,-375.9,-351.2
59,-328.1,-338.8
60,-368.4,-358.1
61,-377.2,-366.8
62,-359.7,-405.4
63,-386.1,-371.3
64,-357.3,-324.1
65,-376.5,-338.4
66,-354,-346.9
67,-315.4,-341.3
68,-342.8,-326.6
69,-376.9,-345.2
70,-310.8,-352.7
71,-330.6,-325.9
72,-329.6,-334.6
73,-384.5,-334.7
74,-362,-357.8
75,-381.1,-339.8
76,-344.3,-369.1
77,-305.7,-373.2
78,-335.1,-366.1
79,-313.1,-313.2
80,-352.3,-386.7
81,-314,-344.9
82,-315.3,-360.1
83,-370.1,-359.3
84,-370.5,-339.8
85,-393,-312.4
86,-405.7,-355.1
87,-310.5,-380.1
88,-331.5,-326.3
89,-375.4,-380
90,-415.3,-363
91,-370,-338.7
92,-372.1,-238.2
93,-293.6,-357.9
94,-382,-355.1
95,-310.1,-321.1
96,-356.4,-381
97,-383.4,-371.1
98,-380,-307.6
99,-381.7,-268.4
100,-313.3,-345.9
101,-314.9,-383.3
102,-310.6,-320.2
103,-329.1,-325.4
104,-388.9,-385.2
105,-336.2,-325
106,-318,-320.5
107,-402.9,-348.5
108,-351.4,-325.8
109,-334.4,-374
110,-377.7,-313.6
111,-396.2,-341.5
112,-409.3,-357.3
113,-334.9,-315
114,-406.4,-341.5
115,-371,-343.8
116,-371.1,-349.4
117,-347.8,-367.2
118,-341.6,-326
119,-348.1,-311.2
120,-366.5,-312.2
121,-338.8,-334.6
122,-343.6,-316.3
123,-391.1,-322.5
124,-324.3,-325.5
125,-351.2,-325.5
126,-372.8,-367.2
127,-380.1,-362.6
128,-313.6,-342.5
129,-371.1,-404.1
130,-325.8,-345.1
131,-334.1,-360.4
132,-256.4,-300.5
133,-322.1,-321.1
134,-323.1,-303.8
135,-332,-316.7
136,-394,-319.5
137,-339.2,-331.5
138,-359.4,-364.7
139,-343.9,-325.9
140,-375.2,-324
141,-318.8,-311.3
142,-385.1,-345.1
143,-399.9,-363.6
144,-373.8,-350.5
145,-313.7,-341.8
146,-372.9,-348.7
147,-350.9,-331.6
148,-403.5,-341.7
149,-340.6,-365.2
150,-351.9,-400.1
151,-297.8,-342.7
152,-299.8,-342.9
153,-273.7,-308.5
154,-375.8,-251.5
155,-330,-384.4
156,-371,-302.1
157,-335.1,-376.1
158,-277.8,-354.1
159,-289.3,-383.6
160,-324.7,-303.1
161,-337.8,-306.5
162,-255.5,-311.1
163,-366.3,-302.6
164,-320.3,-291.7
165,-382,-335.9
166,-323.7,-325.5
167,-374.5,-317.9
168,-341.6,-346.4
169,-357.9,-300.4
170,-358.8,-351.2
171,-345.7,-229.9
172,-392.5,-339.8
173,-302.1,-394.3
174,-352.9,-347.5
175,-339.5,-327.3
176,-348.2,-317.7
177,-323.4,-234.1
178,-379.7,-340.3
179,-326.4,-354.4
180,-315.5,-313.7
181,-340.6,-341.3
182,-324.9,-361.9
183,-310.3,-301
184,-323.8,-348.4
185,-314.7,-403.7
186,-322.1,-265.7
187,-343.2,-380.5
188,-356.9,-303.1
189,-331.8,-344.1
190,-364.7,-294.6
191,-286.2,-355.6
192,-319,-304.8
193,-334.9,-350.6
194,-310.2,-324.6
195,-343.8,-309.6
196,-321.3,-326.9
197,-340.3,-301.2
198,-414.3,-300.9
199,-337.4,-351.9
200,-348.2,-296.4
201,-252.5,-332.8
202,-324.6,-330.5
203,-320.6,-408.3
204,-317.1,-331
205,-371.4,-310
206,-302.8,-287.9
207,-292.3,-310.1
208,-298.5,-348.1
209,-378.3,-296.4
210,-349.2,-265.6
211,-337.1,-338.1
212,-347.2,-364.2
