epoch,mpe_mpe-large-spread-v1_ac_att_JAMMAS_1 - episode_return,mpe_mpe-large-spread-v1_ac_att_JAMMAS_2 - episode_return,mpe_mpe-large-spread-v1_ac_att_JAMMAS_3 - episode_return,mpe_mpe-large-spread-v1_ac_att_JAMMAS_4 - episode_return
1,-331.2,-336.7,-405.8,-314.9
2,-370.8,-371.8,-419.6,-378.5
3,-421.8,-326.7,-391.5,-370.5
4,-508.9,-376,-335.6,-430.2
5,-356.3,-382.6,-392.8,-397.2
6,-360.1,-395.1,-559.8,-438.2
7,-384.4,-361.8,-378.9,-320
8,-355.7,-370.5,-338.7,-345.9
9,-387.1,-397.4,-399.3,-382.2
10,-347.5,-381.7,-307.3,-371.3
11,-350.7,-296.3,-390.4,-347.1
12,-370.3,-350.7,-344.8,-409.6
13,-335,-342,-345.9,-347.9
14,-378.2,-384.2,-351.4,-382.5
15,-366.7,-392.2,-312.5,-388.7
16,-342,-399.7,-357.4,-356.3
17,-368.2,-343.8,-312.5,-363.7
18,-329.6,-357.1,-380.1,-322.4
19,-367.3,-359.9,-347,-344
20,-358.5,-302.8,-287,-356.8
21,-370.2,-337.1,-276.6,-344.5
22,-354.5,-369.6,-406.5,-381.7
23,-373.4,-338,-359.8,-335.3
24,-380.3,-315,-366.3,-372.7
25,-363.9,-372.7,-362.9,-323.8
26,-362.1,-296.1,-413.3,-281.7
27,-310.1,-302.2,-285,-383
28,-302.1,-317.1,-342.9,-304.6
29,-335.6,-336.3,-320.3,-327.1
30,-374.1,-352.9,-335.7,-386.7
31,-325.8,-416.3,-353.5,-310.7
32,-403,-320.2,-367,-384.2
33,-341.2,-325.5,-409.9,-361.9
34,-307.4,-354.1,-428.3,-345.1
35,-361,-357.2,-420.9,-300.3
36,-265.6,-334.5,-358,-310.9
37,-382.4,-355.9,-367.4,-346.7
38,-367.6,-340.6,-329.1,-307
39,-376.7,-362.2,-357.4,-375.9
40,-356.7,-374.4,-304.3,-308.5
41,-345.2,-343.3,-353.3,-348.6
42,-360.2,-353.6,-367.6,-365.8
43,-362.7,-355.6,-380.8,-352.5
44,-347.8,-371.8,-310.2,-330.9
45,-357.3,-348.7,-361.4,-304.2
46,-355,-394.1,-289.6,-327.2
47,-411.4,-352.6,-325.2,-372.6
48,-354.8,-403.3,-422.3,-330.5
49,-343.2,-319.9,-342.8,-410.5
50,-339.7,-346.1,-397.1,-376.4
51,-414.7,-392.7,-285.2,-330
52,-299.5,-315,-356.7,-330.4
53,-345.1,-363.8,-316.2,-376.7
54,-386.7,-364.3,-359.3,-376.4
55,-372.3,-320.5,-342.6,-288.3
56,-389.3,-322.8,-362.2,-340.2
57,-425.7,-318.9,-375.1,-352
58,-317.3,-374,-324.5,-327.3
59,-368.4,-349.2,-327.8,-341.7
60,-307.3,-331.2,-406.5,-295.7
61,-326.1,-357.6,-327.9,-380.5
62,-373,-356.4,-379.3,-341.2
63,-387.6,-346.3,-288.6,-345
64,-328.6,-324.1,-295.4,-326.8
65,-405,-369,-359.1,-340.7
66,-330.9,-354.7,-323.2,-359.2
67,-361.6,-365.1,-384.7,-372.9
68,-351,-384,-427.8,-291.2
69,-339.2,-370.5,-371.7,-370.9
70,-331,-358.4,-347.6,-370.7
71,-351.9,-389.6,-361.1,-354.4
72,-321.9,-350.9,-333.7,-341.6
73,-412.4,-349.7,-337,-326.9
74,-353.7,-361.5,-295.8,-385.5
75,-313.5,-320.3,-376.3,-391.8
76,-352.7,-352,-341.1,-359.7
77,-334.9,-317.6,-341,-422.7
78,-377.8,-307.6,-349.8,-337.6
79,-365.3,-278.3,-398.8,-342.6
80,-334.5,-445.4,-374.4,-335.6
81,-292.5,-329,-318.5,-331.9
82,-349.9,-349.4,-362.6,-347.2
83,-331.6,-336.1,-391.7,-327.1
84,-343.3,-355.4,-305.7,-359.3
85,-351.2,-340.6,-369,-350.8
86,-337.1,-370.4,-345.3,-378.3
87,-371.7,-317.7,-347,-319.1
88,-433,-372.2,-387.8,-312.5
89,-324,-336.4,-329.6,-314.5
90,-364.7,-351.2,-296.4,-374.3
91,-387.4,-342.7,-326.7,-330.2
92,-383.4,-321.2,-356.7,-361
93,-339.2,-363.7,-352,-324.6
94,-378,-348,-323.7,-342.9
95,-314.5,-355,-384.7,-331
96,-372.4,-337.8,-341.3,-391.7
97,-290.7,-361.6,-307.6,-367.6
98,-350.6,-318.5,-312.8,-283.5
99,-369.8,-281,-336.1,-304.3
100,-349.3,-340.6,-387,-300.4
101,-272.4,-332.1,-339.6,-343.9
102,-342.4,-342,-324.5,-322.5
103,-344.2,-325.7,-285.5,-408.8
104,-419,-374.7,-303.1,-331
105,-362,-311.1,-357.2,-368.1
106,-339.8,-365.6,-332.8,-333.2
107,-279.3,-357.4,-358.4,-392.4
108,-360.4,-338.9,-309.5,-387.7
109,-386,-319.1,-366.1,-271
110,-327.8,-321.5,-348.9,-299.2
111,-360.2,-316.9,-347.9,-328.3
112,-326.9,-355,-345.4,-423.6
113,-405.7,-366.1,-324,-358.6
114,-300.4,-353.6,-316.8,-352.7
115,-311.9,-307.8,-345.7,-294.7
116,-342.7,-361.9,-401,-353.2
117,-385,-394,-343.2,-293.8
118,-323.4,-359.1,-378.3,-343.9
119,-374.7,-295.8,-355.2,-303
120,-409.2,-354.6,-323.4,-293.6
121,-357.4,-354.7,-350.2,-317.8
122,-303.6,-356.3,-303,-248.2
123,-277.1,-359.2,-381.2,-348.4
124,-342.1,-383.3,-343.4,-319
125,-275,-298.2,-319.5,-326.4
126,-385.3,-351.3,-317.9,-316.9
127,-344.6,-346.1,-343.3,-327.2
128,-341.4,-356.2,-255,-377.6
129,-385.5,-370.9,-356.6,-321.3
130,-398.8,-285.5,-333.1,-354.2
131,-338.8,-324.6,-321.5,-354.2
132,-331.5,-302.8,-289.8,-294.3
133,-289.6,-333.6,-366.6,-377.9
134,-359.7,-374.4,-339.9,-340.3
135,-347.2,-374.2,-346.9,-297.5
136,-361.1,-367.9,-317.2,-343.8
137,-327.2,-308.2,-298.9,-335
138,-324,-348,-356.1,-393.3
139,-392.6,-291.3,-366.1,-340.9
140,-271.4,-353.9,-267.5,-351.1
141,-333.3,-313.7,-259.9,-317.2
142,-323.2,-402.4,-291.4,-317
143,-318.7,-390.2,-255.9,-367.9
144,-286,-360.6,-294.2,-305.8
145,-363.6,-323.1,-328.5,-280.9
