epoch,mpe_mpe-large-spread-v2_ac_att_JAMMAS_1 - episode_return__MAX,mpe_mpe-large-spread-v2_ac_att_JAMMAS_2 - episode_return__MAX,mpe_mpe-large-spread-v2_ac_att_JAMMAS_3 - episode_return__MAX,mpe_mpe-large-spread-v2_ac_att_JAMMAS_4 - episode_return__MAX
1,-556.9,-481.9,-598.7,-531.2
2,-512.3,-580.9,-481.4,-574.4
3,-634.1,-655,-503.8,-542.8
4,-488.5,-513.9,-527,-877.6
5,-584.3,-482.9,-599.1,-598.5
6,-530,-514.1,-623.2,-547.2
7,-518.4,-615.6,-578.3,-466.6
8,-529.5,-499.8,-621.3,-564
9,-548.5,-527.3,-554.1,-500.3
10,-533.3,-585.5,-574,-543.7
11,-530.9,-592.1,-570.8,-640.7
12,-587.5,-582.3,-528.9,-516.8
13,-473,-450.9,-578.3,-658.1
14,-547.4,-595,-606.9,-548.2
15,-456.3,-564.8,-517.9,-505.8
16,-532.2,-553.1,-548.6,-626.8
17,-508.5,-610.1,-500.9,-504.1
18,-586.3,-534.9,-566.5,-560.5
19,-511.4,-557.6,-506.7,-511.6
20,-531.2,-647.6,-570.6,-499.5
21,-523.8,-473.4,-500.6,-532.6
22,-504.5,-677.8,-547.8,-509.3
23,-610.9,-558.9,-654,-569.7
24,-516.6,-508.7,-561.6,-569.1
25,-567.9,-612.6,-534,-538.1
26,-486.7,-543.6,-566.8,-553.3
27,-485.1,-472,-562.7,-559.3
28,-487.3,-603.4,-490,-563.3
29,-547,-555.4,-609.5,-539.8
30,-549.8,-406.1,-562.9,-499.1
31,-509.9,-572.1,-487.4,-511.7
32,-524.7,-585.7,-504.3,-531.6
33,-588.1,-513.6,-518.5,-590.2
34,-527.5,-519.3,-471.2,-500.8
35,-536.4,-495.2,-586.8,-507.8
36,-476.8,-588.9,-504,-498.2
37,-499.6,-507.6,-529.9,-549.3
38,-524.6,-526,-477.7,-497.7
39,-543.1,-581.2,-444.8,-524.7
40,-509.7,-492.5,-533.1,-608.8
41,-451.8,-496.2,-596.9,-498.6
42,-516.4,-608.7,-543.7,-591.9
43,-544,-555.8,-568.5,-515.6
44,-585.2,-561.5,-574.4,-566.2
45,-562.4,-459.3,-517.3,-509.1
46,-542.6,-551.2,-560.3,-547.5
47,-479.4,-500.2,-487.8,-514
48,-543.7,-526.5,-563.5,-486.4
49,-554.9,-489.1,-522.4,-576
50,-479.3,-471.4,-513,-623.9
51,-546.5,-580.7,-514.2,-545.7
52,-531.6,-506.5,-438.8,-597.6
53,-480.9,-509.2,-610,-498.5
54,-523.7,-561.3,-565.1,-517.3
55,-495.1,-567.4,-519.7,-497.5
56,-509.8,-573.9,-555,-541.7
