epoch,tj_easy_ac_att_JAMMAS_1 - episode_return__MAX,tj_easy_ac_att_JAMMAS_2 - episode_return__MAX,tj_easy_ac_att_JAMMAS_3 - episode_return__MAX,tj_easy_ac_att_JAMMAS_4 - episode_return__MAX,,,,,,,,,,,,,,,,,,
1,-204.8,-204.8,-204.8,-204.8,,,,,,,,,,,,,,,,,,
2,-174.8,-174.8,-174.8,-174.8,,,,,,,,,,,,,,,,,,
3,-126.4,-126.4,-126.4,-125.6,,,,,,,,,,,,,,,,,,
4,-91.2,-92.4,-92.4,-103.6,,,,,,,,,,,,,,,,,,
5,-72.4,-69.2,-71.6,-40,,,,,,,,,,,,,,,,,,
6,-46.8,-42.4,-46.8,-44,,,,,,,,,,,,,,,,,,
7,-20.8,-34,-20.8,-24,,,,,,,,,,,,,,,,,,
8,-12,-16,-16.8,-12.8,,,,,,,,,,,,,,,,,,
9,-20.8,-20,-20,-14.4,,,,,,,,,,,,,,,,,,
10,-24.8,-24.8,-24.8,-21.6,,,,,,,,,,,,,,,,,,
11,-23.2,-23.2,-23.2,-25.6,,,,,,,,,,,,,,,,,,
12,-25.6,-25.6,-25.6,-22.4,,,,,,,,,,,,,,,,,,
13,-18.4,-18.4,-18.4,-19.2,,,,,,,,,,,,,,,,,,
14,-20,-20,-20,-22.4,,,,,,,,,,,,,,,,,,
15,-29.6,-29.6,-29.6,-34.4,,,,,,,,,,,,,,,,,,
16,-20.8,-20.8,-20.8,-24,,,,,,,,,,,,,,,,,,
17,-23.2,-19.2,-19.2,-19.2,,,,,,,,,,,,,,,,,,
18,-18.4,-18.4,-18.4,-17.6,,,,,,,,,,,,,,,,,,
19,-28.8,-28.8,-28.8,-29.6,,,,,,,,,,,,,,,,,,
20,-27.6,-27.6,-27.6,-27.2,,,,,,,,,,,,,,,,,,
21,-23.2,-23.2,-23.2,-23.2,,,,,,,,,,,,,,,,,,
22,-24.8,-24.8,-24.8,-22.4,,,,,,,,,,,,,,,,,,
23,-21.6,-21.6,-21.6,-17.6,,,,,,,,,,,,,,,,,,
24,-21.6,-21.6,-21.6,-20,,,,,,,,,,,,,,,,,,
25,-18.4,-18.4,-18.4,-20,,,,,,,,,,,,,,,,,,
26,-20,-20,-20,-25.6,,,,,,,,,,,,,,,,,,
27,-24,-24,-24,-26.8,,,,,,,,,,,,,,,,,,
28,-22.4,-22.4,-22.4,-24,,,,,,,,,,,,,,,,,,
29,-30.4,-30.4,-30.4,-27.2,,,,,,,,,,,,,,,,,,
30,-25.6,-25.6,-25.6,-25.6,,,,,,,,,,,,,,,,,,
31,-28.4,-28.4,-28.4,-18.4,,,,,,,,,,,,,,,,,,
32,-25.6,-25.6,-25.6,-33.6,,,,,,,,,,,,,,,,,,
33,-24,-24,-24,-22.4,,,,,,,,,,,,,,,,,,
34,-24.8,-24.8,-24.8,-28.8,,,,,,,,,,,,,,,,,,
35,-20,-20,-20,-20.8,,,,,,,,,,,,,,,,,,
36,-26.4,-26.4,-26.4,-25.6,,,,,,,,,,,,,,,,,,
37,-20,-20,-20,-23.2,,,,,,,,,,,,,,,,,,
38,-26.4,-26.4,-26.4,-23.2,,,,,,,,,,,,,,,,,,
39,-23.2,-23.2,-23.2,-27.2,,,,,,,,,,,,,,,,,,
